2025-06-30 05:42:37,505 | INFO | httpx | HTTP Request: GET https://isacqswuoekcljgonjjl.supabase.co/rest/v1/frameworks?select=%2A "HTTP/2 200 OK"
2025-06-30 05:43:06,229 | INFO | httpx | HTTP Request: GET https://isacqswuoekcljgonjjl.supabase.co/rest/v1/frameworks?select=%2A&name=eq.NIST+CSF "HTTP/2 200 OK"
2025-06-30 05:43:07,129 | INFO | httpx | HTTP Request: GET https://isacqswuoekcljgonjjl.supabase.co/rest/v1/frameworks?select=%2A&name=eq.CIS "HTTP/2 200 OK"
2025-06-30 05:43:07,130 | INFO | cortexgrc | Created framework_comparison job: 44034e86-0aa7-41e4-8808-9fc08e33df64
2025-06-30 05:43:07,131 | INFO | cortexgrc | Updated job 44034e86-0aa7-41e4-8808-9fc08e33df64 status to: processing
2025-06-30 05:43:07,131 | INFO | cortexgrc | Starting framework comparison: NIST CSF -> CIS
2025-06-30 05:43:07,131 | INFO | cortexgrc | Fetching framework data for NIST CSF and CIS
2025-06-30 05:43:07,997 | INFO | httpx | HTTP Request: GET https://isacqswuoekcljgonjjl.supabase.co/rest/v1/frameworks?select=%2A&name=eq.NIST+CSF "HTTP/2 200 OK"
2025-06-30 05:43:08,319 | INFO | httpx | HTTP Request: GET https://isacqswuoekcljgonjjl.supabase.co/rest/v1/controls?select=%2A&framework_id=eq.95fc3aaf-c03a-4dc3-94c6-0d0998163f2c "HTTP/2 200 OK"
2025-06-30 05:43:08,641 | INFO | httpx | HTTP Request: GET https://isacqswuoekcljgonjjl.supabase.co/rest/v1/frameworks?select=%2A&name=eq.CIS "HTTP/2 200 OK"
2025-06-30 05:43:09,213 | INFO | httpx | HTTP Request: GET https://isacqswuoekcljgonjjl.supabase.co/rest/v1/controls?select=%2A&framework_id=eq.ba74fa54-9650-47d0-b9c6-0973a4a35d70 "HTTP/2 200 OK"
2025-06-30 05:43:09,363 | INFO | cortexgrc | Calling Framework Optimizer at https://framework.autogrc.cloud/process-json
2025-06-30 05:43:09,674 | INFO | httpx | HTTP Request: POST https://framework.autogrc.cloud/process-json "HTTP/1.1 530 <none>"
2025-06-30 05:43:09,675 | ERROR | cortexgrc | Framework Optimizer HTTP error: Server error '530 <none>' for url 'https://framework.autogrc.cloud/process-json'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/530
2025-06-30 05:43:09,675 | ERROR | cortexgrc | Framework comparison job 44034e86-0aa7-41e4-8808-9fc08e33df64 failed: 530: Framework service error: Server error '530 <none>' for url 'https://framework.autogrc.cloud/process-json'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/530
2025-06-30 05:43:09,676 | INFO | cortexgrc | Updated job 44034e86-0aa7-41e4-8808-9fc08e33df64 status to: failed
2025-06-30 05:43:32,088 | INFO | httpx | HTTP Request: GET https://isacqswuoekcljgonjjl.supabase.co/rest/v1/frameworks?select=%2A "HTTP/2 200 OK"
2025-06-30 05:43:32,650 | INFO | httpx | HTTP Request: GET https://isacqswuoekcljgonjjl.supabase.co/rest/v1/frameworks?select=%2A "HTTP/2 200 OK"
2025-06-30 05:52:47,634 | INFO | cortexgrc | Successfully initialized Supabase client
2025-06-30 05:52:47,861 | INFO | cortexgrc | Successfully initialized Supabase client
2025-06-30 05:52:58,155 | INFO | cortexgrc | Successfully initialized Supabase client
2025-06-30 05:52:58,192 | INFO | cortexgrc | Starting CortexGRC Orchestrator v2.1...
2025-06-30 05:52:58,192 | INFO | cortexgrc | Framework service: https://framework.autogrc.cloud
2025-06-30 05:52:58,192 | INFO | cortexgrc | SOC service: https://soc.autogrc.cloud
2025-06-30 05:52:58,192 | INFO | cortexgrc | Supabase configured: True
2025-06-30 05:52:58,192 | INFO | cortexgrc | Pipeline: RAG → LLM → Report → Transform → Supabase
2025-06-30 05:52:58,192 | INFO | cortexgrc | Enhanced debugging and error handling enabled
2025-06-30 05:52:58,192 | INFO | cortexgrc | Mock data fallback enabled for framework service failures
2025-06-30 05:52:58,192 | INFO | cortexgrc | Test endpoints available: /test-supabase, /framework-mappings
2025-06-30 05:52:59,173 | INFO | cortexgrc | Successfully initialized Supabase client
2025-06-30 05:52:59,368 | INFO | cortexgrc | Successfully initialized Supabase client
2025-06-30 05:53:07,559 | INFO | httpx | HTTP Request: GET https://isacqswuoekcljgonjjl.supabase.co/rest/v1/frameworks?select=%2A "HTTP/2 200 OK"
2025-06-30 05:53:08,133 | INFO | httpx | HTTP Request: GET https://isacqswuoekcljgonjjl.supabase.co/rest/v1/frameworks?select=%2A "HTTP/2 200 OK"
2025-06-30 05:53:12,445 | INFO | httpx | HTTP Request: GET https://isacqswuoekcljgonjjl.supabase.co/rest/v1/frameworks?select=%2A "HTTP/2 200 OK"
2025-06-30 05:53:13,027 | INFO | httpx | HTTP Request: GET https://isacqswuoekcljgonjjl.supabase.co/rest/v1/frameworks?select=%2A "HTTP/2 200 OK"
2025-06-30 05:53:14,161 | INFO | httpx | HTTP Request: GET https://isacqswuoekcljgonjjl.supabase.co/rest/v1/frameworks?select=%2A "HTTP/2 200 OK"
2025-06-30 05:53:44,424 | INFO | httpx | HTTP Request: GET https://isacqswuoekcljgonjjl.supabase.co/rest/v1/frameworks?select=%2A&name=eq.NIST+CSF "HTTP/2 200 OK"
2025-06-30 05:53:44,742 | INFO | httpx | HTTP Request: GET https://isacqswuoekcljgonjjl.supabase.co/rest/v1/frameworks?select=%2A&name=eq.CIS "HTTP/2 200 OK"
2025-06-30 05:53:44,743 | INFO | cortexgrc | Created framework_comparison job: 61041196-2c92-40a1-97a2-5a8b7cbb01da
2025-06-30 05:53:44,744 | INFO | cortexgrc | Updated job 61041196-2c92-40a1-97a2-5a8b7cbb01da status to: processing
2025-06-30 05:53:44,744 | INFO | cortexgrc | 🚀 Starting framework comparison: NIST CSF -> CIS
2025-06-30 05:53:44,744 | INFO | cortexgrc | Fetching framework data for NIST CSF and CIS
2025-06-30 05:53:45,055 | INFO | httpx | HTTP Request: GET https://isacqswuoekcljgonjjl.supabase.co/rest/v1/frameworks?select=%2A&name=eq.NIST+CSF "HTTP/2 200 OK"
2025-06-30 05:53:45,382 | INFO | httpx | HTTP Request: GET https://isacqswuoekcljgonjjl.supabase.co/rest/v1/controls?select=%2A&framework_id=eq.95fc3aaf-c03a-4dc3-94c6-0d0998163f2c "HTTP/2 200 OK"
2025-06-30 05:53:45,698 | INFO | httpx | HTTP Request: GET https://isacqswuoekcljgonjjl.supabase.co/rest/v1/frameworks?select=%2A&name=eq.CIS "HTTP/2 200 OK"
2025-06-30 05:53:46,004 | INFO | httpx | HTTP Request: GET https://isacqswuoekcljgonjjl.supabase.co/rest/v1/controls?select=%2A&framework_id=eq.ba74fa54-9650-47d0-b9c6-0973a4a35d70 "HTTP/2 200 OK"
2025-06-30 05:53:46,452 | INFO | cortexgrc | Calling Framework Optimizer at https://framework.autogrc.cloud/process-json
2025-06-30 05:53:46,885 | INFO | httpx | HTTP Request: POST https://framework.autogrc.cloud/process-json "HTTP/1.1 530 <none>"
2025-06-30 05:53:46,886 | ERROR | cortexgrc | Framework Optimizer HTTP error: Server error '530 <none>' for url 'https://framework.autogrc.cloud/process-json'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/530
2025-06-30 05:53:46,886 | ERROR | cortexgrc | ❌ Framework Optimizer service failed: 530: Framework service error: Server error '530 <none>' for url 'https://framework.autogrc.cloud/process-json'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/530
2025-06-30 05:53:46,886 | WARNING | cortexgrc | 🔧 Creating mock processed mappings for testing...
2025-06-30 05:53:46,887 | INFO | cortexgrc | 📋 Processing 2 mappings from report
2025-06-30 05:53:46,887 | INFO | cortexgrc | ✅ Successfully validated 2 ProcessedMapping objects
2025-06-30 05:53:46,887 | INFO | cortexgrc | Transforming 2 processed mappings for Supabase
2025-06-30 05:53:46,887 | INFO | cortexgrc | Transformed 2 valid mappings for Supabase (filtered out 0 invalid mappings)
2025-06-30 05:53:46,887 | INFO | cortexgrc | 🔄 Transformed 2 mappings for Supabase
2025-06-30 05:53:46,887 | INFO | cortexgrc | 💾 Attempting to save 2 mappings to Supabase...
2025-06-30 05:53:46,887 | INFO | cortexgrc | Attempting to save 2 framework mappings to Supabase
2025-06-30 05:53:47,179 | INFO | httpx | HTTP Request: POST https://isacqswuoekcljgonjjl.supabase.co/rest/v1/framework_mappings?columns=%22mapping_score%22%2C%22method%22%2C%22source_statement%22%2C%22created_by%22%2C%22target_statement%22%2C%22job_id%22%2C%22source_subdomain%22%2C%22mapping_status%22%2C%22target_control_id%22%2C%22source_framework%22%2C%22source_domain%22%2C%22target_framework%22%2C%22created_at%22%2C%22source_control_id%22%2C%22explanation%22 "HTTP/2 400 Bad Request"
2025-06-30 05:53:47,180 | ERROR | cortexgrc | ❌ Error saving framework mappings to Supabase: {'message': "Could not find the 'created_by' column of 'framework_mappings' in the schema cache", 'code': 'PGRST204', 'hint': None, 'details': None}
2025-06-30 05:53:47,180 | ERROR | cortexgrc | Error type: APIError
2025-06-30 05:53:47,478 | INFO | httpx | HTTP Request: GET https://isacqswuoekcljgonjjl.supabase.co/rest/v1/framework_mappings?select=%2A&limit=1 "HTTP/2 200 OK"
2025-06-30 05:53:47,480 | INFO | cortexgrc | Table exists and is accessible. Sample schema: []
2025-06-30 05:53:47,480 | ERROR | cortexgrc | ❌ Error processing mappings: 500: Database error: {'message': "Could not find the 'created_by' column of 'framework_mappings' in the schema cache", 'code': 'PGRST204', 'hint': None, 'details': None}
2025-06-30 05:53:47,480 | ERROR | cortexgrc | Raw processed_mappings: [{'framework_a_control_id': 'NIST-1', 'framework_a_control_domain': 'Identify', 'framework_a_control_sub_domain': 'Asset Management', 'framework_a_control_statement': 'Test NIST control statement', 'framework_b_control_id': 'CIS-1', 'framework_b_control': 'Test CIS control statement', 'mapping_score': 85, 'detailed_mapping_analysis': 'Mock analysis: These controls have high conceptual overlap', 'mapping_status': 'Direct Mapping', 'source_control_uuid': None, 'target_control_uuid': None}, {'framework_a_control_id': 'NIST-2', 'framework_a_control_domain': 'Protect', 'framework_a_control_sub_domain': 'Access Control', 'framework_a_control_statement': 'Test NIST control 2', 'framework_b_control_id': 'CIS-2', 'framework_b_control': 'Test CIS control 2', 'mapping_score': 60, 'detailed_mapping_analysis': 'Mock analysis: Partial overlap identified', 'mapping_status': 'Partial Mapping', 'source_control_uuid': None, 'target_control_uuid': None}]
2025-06-30 05:53:47,480 | INFO | cortexgrc | Updated job 61041196-2c92-40a1-97a2-5a8b7cbb01da status to: completed
2025-06-30 05:53:47,480 | INFO | cortexgrc | ✅ Framework comparison job 61041196-2c92-40a1-97a2-5a8b7cbb01da completed successfully
2025-06-30 06:03:47,607 | INFO | cortexgrc | Successfully initialized Supabase client
